userId,carId,rating
0,151033,2
0,95722,2
0,85033,3
0,95115,3
0,169034,4
0,413574,3
0,270222,1
0,61181,4
0,262146,2
0,147610,5
1,354601,5
1,127726,2
1,427580,5
1,397030,2
1,14509,3
1,390807,2
1,185606,5
1,480201,4
1,395591,3
1,286414,5
2,141016,2
2,383349,4
2,180017,2
2,400734,2
2,30439,4
2,256418,4
2,445116,1
2,122474,2
2,484600,2
2,377238,3
3,474591,2
3,26458,4
3,133692,2
3,291978,3
3,68787,1
3,313353,4
3,230257,4
3,51758,4
3,279991,3
3,278209,2
4,139073,2
4,452368,4
4,106447,4
4,3587,5
4,237197,3
4,55106,1
4,307998,5
4,192212,3
4,281651,1
4,93150,1
5,364102,2
5,288337,4
5,100146,1
5,161172,5
5,422708,4
5,525749,2
5,163590,1
5,215721,5
5,104212,5
5,546887,3
6,193804,2
6,526612,4
6,332592,2
6,53775,3
6,9172,4
6,225063,4
6,414120,2
6,144553,4
6,92273,2
6,10300,1
7,131305,4
7,461692,3
7,466039,4
7,95396,1
7,79908,5
7,303960,2
7,538171,3
7,514191,2
7,397510,3
7,223786,1
8,285623,2
8,297697,1
8,181791,2
8,179661,5
8,538610,1
8,215344,5
8,158252,2
8,288567,5
8,523343,4
8,365836,1
9,360680,4
9,314289,5
9,45831,3
9,8699,2
9,426168,2
9,74445,1
9,76121,3
9,215749,5
9,475919,2
9,85640,3
10,69626,2
10,245476,3
10,407908,3
10,79750,4
10,5407,4
10,384448,5
10,131572,4
10,516731,3
10,341233,1
10,208950,1
11,385955,4
11,465080,2
11,321249,3
11,166509,2
11,179373,1
11,244827,4
11,322725,3
11,436656,4
11,151827,1
11,460094,5
12,295049,2
12,191553,2
12,87916,2
12,549620,3
12,180227,4
12,135217,5
12,438103,2
12,217708,1
12,512706,1
12,100972,5
13,246353,5
13,147624,2
13,515437,4
13,400629,1
13,277375,3
13,300866,1
13,186559,1
13,291398,4
13,471952,2
13,269524,4
14,408614,4
14,407643,3
14,374954,1
14,389403,4
14,175276,3
14,370967,2
14,495507,2
14,159249,2
14,216206,5
14,481115,3
15,309036,1
15,181347,4
15,32533,1
15,2752,3
15,419589,3
15,392116,1
15,38324,3
15,289823,1
15,45358,4
15,468428,4
16,448803,5
16,464860,3
16,93658,1
16,229501,2
16,532098,1
16,431496,2
16,533813,4
16,120463,3
16,137302,3
16,523309,4
17,431469,4
17,276415,4
17,241518,3
17,486510,4
17,179420,5
17,374332,5
17,501534,5
17,387097,3
17,113628,3
17,345862,1
18,136001,1
18,398906,3
18,369029,1
18,13567,4
18,538391,1
18,304142,3
18,496937,1
18,158933,2
18,340488,3
18,307567,5
19,211975,3
19,342297,3
19,56861,1
19,345822,3
19,41232,2
19,3752,1
19,178987,4
19,259070,4
19,262336,4
19,218132,4
20,516399,4
20,210508,3
20,380942,1
20,281096,2
20,227359,5
20,41889,4
20,248100,4
20,416756,2
20,437888,5
20,390143,5
21,184141,5
21,392688,4
21,409498,2
21,291814,1
21,549445,5
21,38638,5
21,360301,3
21,24222,5
21,28235,4
21,456662,1
22,185362,5
22,526368,4
22,417534,5
22,403785,4
22,356018,4
22,188123,4
22,504891,2
22,113769,3
22,525085,4
22,413348,3
23,107167,3
23,481167,5
23,239320,5
23,265888,4
23,500812,2
23,440749,5
23,456432,2
23,509854,1
23,381812,2
23,148148,3
24,532780,2
24,127345,3
24,526795,2
24,198989,3
24,383135,5
24,65082,4
24,515881,2
24,69689,4
24,346494,4
24,463028,5
25,385000,3
25,162437,2
25,54229,4
25,321076,1
25,493698,1
25,66106,4
25,321040,5
25,364659,3
25,229055,4
25,396929,2
26,162755,1
26,254716,4
26,427122,3
26,10282,5
26,371350,5
26,3851,5
26,86274,4
26,296545,4
26,532407,4
26,538309,5
27,118339,2
27,259087,5
27,358841,3
27,334302,1
27,541411,3
27,241223,2
27,201133,5
27,27557,1
27,18650,5
27,559,3
28,244241,5
28,51149,5
28,194567,1
28,330435,3
28,121031,5
28,143056,4
28,30229,3
28,250726,1
28,121014,3
28,436965,1
29,213805,3
